name,state,circuitCode,language
Italian - Boston MA,Massachusetts,CT-3-B-I,it
Burlington - MA,Massachusetts,MA-1,en
Cambridge - MA,Massachusetts,MA-1,en
East - Lynn MA,Massachusetts,MA-1,en
English - Lawrence MA,Massachusetts,MA-1,en
English - Peabody MA,Massachusetts,MA-1,en
English - Revere MA,Massachusetts,MA-1,en
English - Saugus MA,Massachusetts,MA-1,en
English - Somerville MA,Massachusetts,MA-1,en
Gloucester - MA,Massachusetts,MA-1,en
Lexington - MA,Massachusetts,MA-1,en
Malden - MA,Massachusetts,MA-1,en
Metropolitan - Boston MA,Massachusetts,MA-1,en
Salem - MA,Massachusetts,MA-1,en
Stoneham - MA,Massachusetts,MA-1,en
West - Lynn MA,Massachusetts,MA-1,en
Wilmington - MA,Massachusetts,MA-1,en
Broad Street Spanish - Nashua NH,New Hampshire,MA-10-S,es
Central Spanish - Lawrence MA,Massachusetts,MA-10-S,es
East Boston Spanish - Boston MA,Massachusetts,MA-10-S,es
Fellsway Spanish - Stoneham MA,Massachusetts,MA-10-S,es
Jackson Spanish - Lawrence MA,Massachusetts,MA-10-S,es
North Spanish - Lawrence MA,Massachusetts,MA-10-S,es
South Spanish - Lawrence MA,Massachusetts,MA-10-S,es
Southeast Spanish - Lawrence MA,Massachusetts,MA-10-S,es
Spanish - Haverhill MA,Massachusetts,MA-10-S,es
Spanish - Lowell MA,Massachusetts,MA-10-S,es
Spanish - Lynn MA,Massachusetts,MA-10-S,es
Spanish - Manchester NH,New Hampshire,MA-10-S,es
Spanish - Methuen MA,Massachusetts,MA-10-S,es
Spanish - Peabody MA,Massachusetts,MA-10-S,es
Spanish - Revere MA,Massachusetts,MA-10-S,es
Central - Brockton MA,Massachusetts,MA-11,en
Dighton - MA,Massachusetts,MA-11,en
East Campello - Brockton MA,Massachusetts,MA-11,en
Franklin - MA,Massachusetts,MA-11,en
Mansfield - MA,Massachusetts,MA-11,en
North Attleboro - MA,Massachusetts,MA-11,en
Sharon - MA,Massachusetts,MA-11,en
Stoughton - MA,Massachusetts,MA-11,en
Burncoat - Worcester MA,Massachusetts,MA-13,en
Central - Leominster MA,Massachusetts,MA-13,en
Central - Worcester MA,Massachusetts,MA-13,en
Douglas - MA,Massachusetts,MA-13,en
English - Ashland MA,Massachusetts,MA-13,en
English - Northbourough MA,Massachusetts,MA-13,en
Leicester - MA,Massachusetts,MA-13,en
Northbridge - MA,Massachusetts,MA-13,en
Oxford - MA,Massachusetts,MA-13,en
South English - Worcester MA,Massachusetts,MA-13,en
Webster - MA,Massachusetts,MA-13,en
West - Worcester MA,Massachusetts,MA-13,en
Canton Haitian Creole - Stoughton MA,Massachusetts,MA-14-CR,ht
Central Haitian Creole - Boston MA,Massachusetts,MA-14-CR,ht
Central Haitian Creole - New Bedford MA,Massachusetts,MA-14-CR,ht
Haitian Creole - Brockton MA,Massachusetts,MA-14-CR,ht
Haitian Creole - Mattapan MA,Massachusetts,MA-14-CR,ht
Haitian Creole - Somerville MA,Massachusetts,MA-14-CR,ht
North Haitian Creole - Lawrence MA,Massachusetts,MA-14-CR,ht
Pearl Haitian Creole - Stoughton MA,Massachusetts,MA-14-CR,ht
