eventType,circuitCode,region,serviceYear,name,theme,themeScripture,venue,address,startDate,endDate,language
CIRCUIT_ASSEMBLY,MA-6-A-S,US-MA,2026,2025-2026 Circuit Assembly (MA-6-A-S),"Worship With Spirit and Truth",John 4:24,Natick Assembly Hall of Jehovah's Witnesses,85 Bacon St Natick MA 01760-2901,2026-02-28,2026-02-28,es
CIRCUIT_ASSEMBLY,MA-6-B-S,US-MA,2026,2025-2026 Circuit Assembly (MA-6-B-S),"Worship With Spirit and Truth",John 4:24,Natick Assembly Hall of Jehovah's Witnesses,85 Bacon St Natick MA 01760-2901,2026-03-01,2026-03-01,es
CIRCUIT_ASSEMBLY,MA-11,US-MA,2026,2025-2026 Circuit Assembly (MA-11),"Worship With Spirit and Truth",John 4:24,Natick Assembly Hall of Jehovah's Witnesses,85 Bacon St Natick MA 01760-2901,2026-03-07,2026-03-07,en
CIRCUIT_ASSEMBLY,MA-13,US-MA,2026,2025-2026 Circuit Assembly (MA-13),"Worship With Spirit and Truth",John 4:24,Natick Assembly Hall of Jehovah's Witnesses,85 Bacon St Natick MA 01760-2901,2026-03-08,2026-03-08,en
CIRCUIT_ASSEMBLY,MA-9,US-MA,2026,2025-2026 Circuit Assembly (MA-9),"Worship With Spirit and Truth",John 4:24,Natick Assembly Hall of Jehovah's Witnesses,85 Bacon St Natick MA 01760-2901,2026-03-14,2026-03-14,en
CIRCUIT_ASSEMBLY,ME-2,US-ME,2026,2025-2026 Circuit Assembly (ME-2),"Worship With Spirit and Truth",John 4:24,Natick Assembly Hall of Jehovah's Witnesses,85 Bacon St Natick MA 01760-2901,2026-03-15,2026-03-15,en
CIRCUIT_ASSEMBLY,MA-10-B-S,US-MA,2026,2025-2026 Circuit Assembly (MA-10-B-S),"Hear What the Spirit Says to the Congregations",Revelation 3:22,Natick Assembly Hall of Jehovah's Witnesses,85 Bacon St Natick MA 01760-2901,2026-03-21,2026-03-21,es
CIRCUIT_ASSEMBLY,MA-10-A-S,US-MA,2026,2025-2026 Circuit Assembly (MA-10-A-S),"Hear What the Spirit Says to the Congregations",Revelation 3:22,Natick Assembly Hall of Jehovah's Witnesses,85 Bacon St Natick MA 01760-2901,2026-03-22,2026-03-22,es
CIRCUIT_ASSEMBLY,NH-1-A,US-NH,2026,2025-2026 Circuit Assembly (NH-1-A),"Hear What the Spirit Says to the Congregations",Revelation 3:22,Natick Assembly Hall of Jehovah's Witnesses,85 Bacon St Natick MA 01760-2901,2026-03-28,2026-03-28,en
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Felices para siempre,,"Natick, MA Assembly Hall of Jehovah's Witnesses",85 Bacon St Natick MA 01760-2901,2026-06-05,2026-06-07,es
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Eternal Happiness,,"Natick, MA Assembly Hall of Jehovah's Witnesses",85 Bacon St Natick MA 01760-2901,2026-06-12,2026-06-14,en
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Eternal Happiness,,"Natick, MA Assembly Hall of Jehovah's Witnesses",85 Bacon St Natick MA 01760-2901,2026-06-19,2026-06-21,en
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Felices para siempre,,"Natick, MA Assembly Hall of Jehovah's Witnesses",85 Bacon St Natick MA 01760-2901,2026-06-26,2026-06-28,es
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Eternal Happiness,,"Natick, MA Assembly Hall of Jehovah's Witnesses",85 Bacon St Natick MA 01760-2901,2026-07-03,2026-07-05,en
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Eternal Happiness,,"Natick, MA Assembly Hall of Jehovah's Witnesses",85 Bacon St Natick MA 01760-2901,2026-07-10,2026-07-12,pt
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Eternal Happiness,,Tsongas Center at UMass Lowell,300 Martin Luther King Jr Way Lowell MA 01852-1050,2026-07-10,2026-07-12,en
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Eternal Happiness,,"Natick, MA Assembly Hall of Jehovah's Witnesses",85 Bacon St Natick MA 01760-2901,2026-07-17,2026-07-19,ht
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Eternal Happiness,,Tsongas Center at UMass Lowell,300 Martin Luther King Jr Way Lowell MA 01852-1050,2026-07-17,2026-07-19,en
REGIONAL_CONVENTION,,US-MA,2026,2026 Regional Convention,Felices para siempre,,"Natick, MA Assembly Hall of Jehovah's Witnesses",85 Bacon St Natick MA 01760-2901,2026-07-24,2026-07-26,es
